,id,rank,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
87,7844e28f-fac5-4139-9e38-10524822bcc6,86,Egypt,Africa,0.47,4.86,3.5,85.89,500889,0,24361,0,430198,0,46330,3693367,105664310,211,4337,29,231.0,122,34954,4740.0
88,8b530d04-0043-48cc-938c-71395833398f,87,Ethiopia,Africa,0.39,1.6,3.86,92.25,469611,7,7492,1,433197,1953,28922,4633008,119874912,255,16000,26,62.0,13,38649,3918.0
89,75989859-6f57-4c6a-82de-9134e3698840,88,Mongolia,Asia,13.89,0.47,119.61,66.94,467957,73,2177,0,313256,0,152524,4030048,3369383,7,1548,1,646.0,192,1196079,138885.0
90,f281c4d9-4a39-44d4-baa9-8deb858d73cb,89,Armenia,Asia,14.21,2.04,99.72,97.0,422444,21,8608,1,409757,64,4079,2964598,2972803,7,345,1,2896.0,0,997240,142103.0
91,06e13c04-2cd2-4b58-89c9-bf5e9673e7de,90,Honduras,North America,4.13,2.58,12.41,31.17,420621,0,10871,0,131100,0,278650,1263329,10176422,24,936,8,1068.0,105,124143,41333.0
92,f2bd16b1-2a21-42c3-ba7a-62e372619ba6,91,Cyprus,Asia,33.19,0.23,775.21,30.66,405706,5172,932,2,124370,0,280404,9477138,1222529,3,1312,0,762.0,60,7752076,331858.0
93,0c7482a0-3655-48e5-a002-ea7e84e9a5e0,92,Oman,Asia,7.28,1.1,468.99,98.46,387922,0,4250,0,381949,0,1723,25000000,5330611,14,1254,0,797.0,15,4689894,72773.0
94,6f12c131-ea0a-4953-9249-e3a16555b940,93,Bosnia and Herzegovina,Europe,11.55,4.19,53.33,51.28,374810,0,15702,0,192218,0,166890,1730820,3245596,9,207,2,4838.0,0,533283,115483.0
95,d7b5b1f3-7613-497f-ad47-659c3e7b274f,94,Qatar,Asia,12.85,0.19,121.26,99.49,360704,85,677,0,358870,81,1157,3404748,2807805,8,4147,1,241.0,1,1212601,128465.0
96,07e7a02c-dadf-46fd-b333-03cf9576b9e3,95,Réunion,Africa,36.1,0.21,173.16,96.07,327189,0,702,0,314338,0,12149,1569429,906340,3,1291,1,775.0,41,1731612,361000.0
97,4d0b4ae2-5c78-4099-83c1-106807cc3ca4,96,Kenya,Africa,0.58,1.75,6.26,98.21,323365,15,5647,0,317581,0,137,3495960,55814371,173,9884,16,101.0,1,62635,5794.0
98,8be534c1-1507-4eaa-a2a7-d3ddfecd8b35,97,Zambia,Africa,1.64,1.25,17.37,98.49,316501,79,3966,0,311731,131,804,3346905,19271773,61,4859,6,206.0,0,173669,16423.0
99,a4a08077-a4ec-4cca-a3f9-da0271e814a2,98,North Macedonia,Europe,14.63,3.02,91.42,96.33,304878,230,9203,6,293700,221,1975,1904444,2083226,7,226,1,4418.0,0,914180,146349.0
100,fddf0a3a-754d-4938-bf36-23233f4a20ff,99,Albania,Europe,9.52,1.28,61.73,98.54,273387,69,3491,1,269399,34,497,1772991,2872373,11,823,2,1215.0,13,617257,95178.0
101,c1312566-0372-4b3f-b856-2ab3f468b8f2,100,Algeria,Africa,0.59,2.59,0.51,67.1,265621,9,6873,0,178243,8,80505,230861,45217202,170,6579,196,152.0,10,5106,5874.0
102,b9dfb35b-fcd7-4235-88db-3164f085fe32,101,Botswana,Africa,10.85,0.99,83.29,98.29,263950,0,2619,0,259434,0,1897,2026898,2433538,9,929,1,1076.0,1,832902,108463.0
103,97dd3c39-1d10-44f7-b8db-6719494b8cd1,102,Nigeria,Africa,0.12,1.23,2.2,97.74,255244,0,3142,0,249486,0,2616,4726096,214951337,842,68412,45,15.0,11,21987,1187.0
104,09427c33-6194-4989-a06e-4d6d52518b06,103,Zimbabwe,Africa,1.61,2.21,14.27,96.21,245645,0,5436,0,236342,0,3867,2174205,15236279,62,2803,7,357.0,12,142699,16122.0
105,c0e96d03-21df-42c0-a932-ec088d305cba,104,Uzbekistan,Asia,0.69,0.69,4.02,99.06,237589,47,1637,0,235344,79,608,1377915,34306224,144,20957,25,48.0,23,40165,6926.0
106,e4a3c6fe-8601-48ca-b352-666fda42efef,105,Montenegro,Europe,37.05,1.16,191.78,98.55,232727,101,2698,0,229347,78,682,1204749,628203,3,233,1,4295.0,6,1917770,370465.0
107,11b1c43d-0f5c-4503-855a-6bc5588790e2,106,Mozambique,Africa,0.69,0.98,3.95,98.59,225237,6,2200,0,222061,6,976,1293425,32765436,145,14893,25,67.0,13,39475,6874.0
108,a1f7abfd-5e25-4c08-955a-c61a8ad19665,107,Luxembourg,Europe,32.36,0.49,643.63,91.17,208223,0,1025,0,189841,0,17357,4142082,643550,3,628,0,1593.0,3,6436302,323554.0
109,a173c7c0-6c68-4505-a21e-303b977f4432,108,Kyrgyzstan,Asia,2.99,1.49,28.42,97.65,200868,11,2984,1,196154,11,1730,1907195,6709920,33,2249,4,445.0,131,284235,29936.0
